OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
308,0886,886.0,WATER WORKS,0886,995,620,0.623115,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2943685.25,11667.8161298515
309,0420,420.0,KINGS,0420,1064,555,0.521616,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5677031.82421875,9831.14293325963
310,0671,671.0,RAINTREE,0671,564,377,0.668439,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2444382.22265625,6444.36018870836
311,0109,109.0,CAROL ANN,0109,876,490,0.55936,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6416236.37109375,11535.8832787339
312,0406,406.0,JOSHUA TREE,0406,1018,766,0.752455,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7955480.4375,12031.6320225768
313,0790,790.0,STELLAR,0790,1361,866,0.636296,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6781523.57421875,11937.4134678315
314,0079,79.0,BROOKS FARM,0079,630,388,0.615873,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9451995.140625,13587.1584452876
315,0582,582.0,OAKWOOD COUNTRY CLUB,0582,1028,908,0.883268,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7380507.03125,11430.6376978051
316,0349,349.0,HAPPY VALLEY,0349,567,359,0.633156,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6353231.42578125,10716.2669007416
317,0518,518.0,MILLS,0518,347,185,0.533141,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1938449.953125,5906.28937133726
318,0324,324.0,GOLDEN EAGLE,0324,815,673,0.825766,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25901979.265625,23230.5197649288
319,0039,39.0,ASTER,0039,490,353,0.720408,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4434866.65234375,8835.82887632854
320,0269,269.0,ESCUDA,0269,307,183,0.596091,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1804135.55078125,5777.74216805508
321,0769,769.0,SONOQUI,0769,554,338,0.610108,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,21858246.2460938,19111.1092477172
322,0107,107.0,CARL,0107,1294,459,0.354714,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3660949.05859375,7653.24389940833
